Site,HE,TN,TS,day.TS,night.TS
LKT01,12,63,0.19047619,0.1904762,0
LKT02,2,54,0.03703704,0.03703704,0
LKT03,0,69,0,0,0
LKT04,0,64,0,0,0
LKT05,0,69,0,0,0
LKT06,1,8,0.125,0.125,0
LKT07,0,56,0,0,0
LKT08,0,61,0,0,0
LKT09,0,65,0,0,0
LKT10,0,65,0,0,0
LKT11,0,65,0,0,0
LKT12,1,40,0.025,0.025,0
LKT13,0,47,0,0,0
LKT14,0,63,0,0,0
LKT15,0,35,0,0,0
LKT18,0,57,0,0,0
