"","Occ 1","Occ 2","Occ 3","Occ 4","Occ 5","Occ 6","Occ 7","Occ 8","Occ 9","Occ 10","Occ 11","Occ 12","Occ 13","Occ 14"
"4AJB 1","1","1","1","1","1","1","1","1","1","1","1","3","1","1"
"4AJB 2","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"4AJB 3","1","1","1","1","1","1","1","1","1","1","1","3","1","1"
"4AJB 4","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"4AJB 5","1","1",NA,"1","1","1",NA,"1","1","1",NA,NA,NA,NA
"4AJB 6","1","1","2","1","1","1","1","1","1","1","1","1","1",NA
"4AJB 7","1","1","2","3","4","1","1","1","1","3","1","1","1",NA
"4AJB 8","3","1","1","1","1","1","1","1","1","1","1",NA,NA,NA
"4AJB 9","1","1","1","1","3","1","1","1","1",NA,NA,NA,NA,NA
"4AJB 10","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"4AJB 11","1","1","1","2","1","1","1","1","1","1","1","1",NA,NA
"4AJB 12","1",NA,"1","1","1","1","1","1","1","1","1","1","1",NA
"4AJB 13","1","1","1","1","1","1","1","1","1","3","1","1","2",NA
"4AJB 14","1","1","1","3","1","1","1","1","1","1","1","1","1","1"
"4AJB 15","3","1","1","1","3","3","1","1","1","3","1","1","1",NA
"4AJB 16","1","1",NA,"1","1","1","1","1","1","1","1",NA,NA,NA
"4AJB 17","1","1","1","3","1","1","1","1",NA,"1","1",NA,NA,NA
"4AJB 18","1","1","1","3","1","1","1","1","1","1","1","1","1",NA
"4AJB 19","1","1","1","1","1","1","1","1",NA,"1","1","1","1",NA
"4AJB 20","1","2","1","1","1","1","1","1","1","1","1","1","1",NA
"4AJB 21","1","1","1","1","3","1","1",NA,NA,"1","1","1","1","1"
"4AJB 22","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"4AJB 23","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"4AJB 24","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA
