"","Occ 1","Occ 2","Occ 3","Occ 4","Occ 5","Occ 6","Occ 7","Occ 8","Occ 9","Occ 10","Occ 11","Occ 12","Occ 13","Occ 14"
"1AJB 1","1","1","1","1","1","3","1","1","1","1","1","1",NA,NA
"1AJB 2","1","1","1","1","1","1","1","1","1","1","3","1",NA,NA
"1AJB 3","1","1","1","1","1","1","1","3","1","1","1","1",NA,NA
"1AJB 4","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"1AJB 5","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"1AJB 6","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"1AJB 7","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"1AJB 8","1","1","1","4","1","1","1","3","1","1","1","1",NA,NA
"1AJB 9","1","1","1","1","1","1","2","1","1","1","1","1",NA,NA
"1AJB 10","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"1AJB 11","1","1","1","1","1","2","1","1","1","1","1","1",NA,NA
"1AJB 12","3","3","1","3","2","4","3","1","1","1","1","3",NA,NA
"1AJB 13","1","1","1","4","1","4","1","2","1","4","1","2",NA,NA
"1AJB 14","1","1","1","2","1","1","1","3","1","1","1","1",NA,NA
"1AJB 15","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"1AJB 16",NA,"1","1","1","1","1","1","1","1","1","1","1","3",NA
"1AJB 17",NA,"1","1","1","1","1","1","1",NA,"1","1","1",NA,NA
"1AJB 18",NA,"3","3","3","1","3","1","1","1","1","2","1",NA,NA
"1AJB 19",NA,"1","2","1","1","1","1","1","1","1","1","1",NA,NA
"1AJB 20",NA,"1","1","3","1","1","1","3","1","1","1","1",NA,NA
"1AJB 21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1AJB 22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1AJB 23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1AJB 24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
