"","Occ 1","Occ 2","Occ 3","Occ 4","Occ 5","Occ 6","Occ 7","Occ 8","Occ 9","Occ 10","Occ 11","Occ 12","Occ 13","Occ 14"
"5AJB 1","1","3","3","1","3","3","1","3","1",NA,NA,NA,NA,NA
"5AJB 2","1","1","1","1","3","2","1","3","1",NA,NA,NA,NA,NA
"5AJB 3","1","1","1","1","4","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 4","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA
"5AJB 5","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 6","1","1","1","1","1","1","1","3","1",NA,NA,NA,NA,NA
"5AJB 7","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 8","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 9","1","1","1","1","1","1","2","3","1",NA,NA,NA,NA,NA
"5AJB 10","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 11","1","1","1","1","1","1","3","1","1",NA,NA,NA,NA,NA
"5AJB 12","1","1","1","1","1","1","1","3","3",NA,NA,NA,NA,NA
"5AJB 13","1","1","3","3","1","1","1","3","1",NA,NA,NA,NA,NA
"5AJB 14","1","1","1","2","1","4","1","3","3",NA,NA,NA,NA,NA
"5AJB 15","1","1","3","1","1","1","3","1","3",NA,NA,NA,NA,NA
"5AJB 16","1","3","1","1","1","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 17","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 18","1","1","1","1","1","1","3","1","2",NA,NA,NA,NA,NA
"5AJB 19","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 20","3","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 21","1","3","1","2","3","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 22","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA
"5AJB 23","1","2","1","1","4","1","3","1","1",NA,NA,NA,NA,NA
"5AJB 24","1","1","1","1","1","1","2","1","1",NA,NA,NA,NA,NA
