Mode,CPO
"M1.full.no.covs","715.664574366172"
"M2.red.no.covs.CPO","718.638913745225"
"M1.full.covs.1.CPO","744.35146156799"
"M2.red.covs.1.CPO","720.925817044633"
"M3.null.covs.1.CPO","738.420718749501"
