Site,HE,TN,TS,day.TS,night.TS
3AJB01,0,66,0,0,0
3AJB02,0,65,0,0,0
3AJB03,0,66,0,0,0
3AJB04,5,66,0.07575758,0.07575758,0
3AJB05,0,64,0,0,0
3AJB06,0,66,0,0,0
3AJB07,0,64,0,0,0
3AJB08,0,42,0,0,0
3AJB09,0,18,0,0,0
3AJB10,0,63,0,0,0
3AJB11,0,57,0,0,0
3AJB12,0,63,0,0,0
3AJB13,0,63,0,0,0
3AJB14,4,63,0.06349206,0.06349206,0
3AJB15,78,64,1.21875,1.15625,0.0625
3AJB16,0,63,0,0,0
3AJB17,1,56,0.01785714,0.01785714,0
3AJB18,0,26,0,0,0
3AJB19,0,56,0,0,0
3AJB20,0,50,0,0,0
3AJB21,0,63,0,0,0
3AJB22,0,63,0,0,0
3AJB23,0,63,0,0,0
3AJB24,0,53,0,0,0
