Site,HE,TN,TS,day.TS,night.TS
2AJB01,2,61,0.03278689,0.03278689,0
2AJB02,0,20,0,0,0
2AJB03,4,61,0.06557377,0.06557377,0
2AJB04,3,57,0.05263158,0.05263158,0
2AJB05,0,61,0,0,0
2AJB06,0,30,0,0,0
2AJB07,4,62,0.06451613,0.06451613,0
2AJB08,0,62,0,0,0
2AJB09,0,43,0,0,0
2AJB10,0,41,0,0,0
2AJB11,0,50,0,0,0
2AJB12,0,62,0,0,0
2AJB13,3,62,0.0483871,0.03225806,0.01612903
2AJB14,0,27,0,0,0
2AJB15,6,60,0.1,0.1,0
2AJB16,1,54,0.01851852,0.01851852,0
2AJB17,0,60,0,0,0
2AJB18,0,60,0,0,0
2AJB19,0,54,0,0,0
2AJB20,0,40,0,0,0
2AJB21,0,60,0,0,0
2AJB22,0,59,0,0,0
2AJB23,0,50,0,0,0
2AJB24,0,11,0,0,0
2AJB25,0,49,0,0,0
