"Station","Occ_1","Occ_2","Occ_3","Occ_4","Occ_5","Occ_6","Occ_7","Occ_8","Occ_9","Occ_10","Occ_11","Occ_12","Occ_13","Occ_14"
"2AJB01",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"2AJB02",1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA
"2AJB03",1,1,1,1,1,2,2,1,3,1,1,NA,NA,NA
"2AJB04",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"2AJB05",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"2AJB06",1,1,3,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"2AJB07",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"2AJB08",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"2AJB09",1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA
"2AJB10",1,1,1,1,1,1,NA,1,NA,1,1,NA,NA,NA
"2AJB11",1,1,1,1,NA,1,1,1,1,1,2,NA,NA,NA
"2AJB12",1,1,1,1,1,3,4,1,1,1,1,NA,NA,NA
"2AJB13",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"2AJB14",NA,NA,NA,NA,NA,1,3,1,1,1,1,NA,NA,NA
"2AJB15",2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"2AJB16",1,3,1,1,1,1,4,1,1,1,1,NA,NA,NA
"2AJB17",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"2AJB18",2,1,1,1,1,1,1,3,1,1,1,NA,NA,NA
"2AJB19",1,1,1,3,1,1,1,1,1,1,1,NA,NA,NA
"2AJB20",1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA
"2AJB21",1,4,1,1,1,1,1,1,1,2,2,NA,NA,NA
"2AJB22",1,1,1,1,1,1,3,1,1,1,2,NA,NA,NA
"2AJB23",1,1,1,3,1,1,1,1,1,1,1,NA,NA,NA
"2AJB24",1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
