Date,Time,Station
2008/10/06,21:34,AJB01
2008/11/01,22:33,AJB02
2008/10/19,17:59,AJB03
2008/09/20,0:54,AJB08
2008/10/17,3:57,AJB08
2008/09/23,6:14,AJB08
2008/10/10,13:18,AJB09
2008/10/04,9:50,AJB11
2008/10/11,4:46,AJB12
2008/10/04,6:04,AJB12
2008/09/27,8:45,AJB12
2008/10/04,9:37,AJB12
2008/11/12,17:49,AJB12
2008/10/06,18:48,AJB12
2008/09/07,19:29,AJB12
2008/09/11,19:44,AJB12
2008/09/23,21:17,AJB12
2008/10/07,1:51,AJB13
2008/09/20,3:04,AJB13
2008/10/28,3:24,AJB13
2008/10/30,3:30,AJB13
2008/10/04,5:36,AJB13
2008/10/28,9:07,AJB13
2008/09/24,9:08,AJB13
2008/10/18,11:45,AJB13
2008/11/08,16:40,AJB13
2008/09/25,6:54,AJB14
2008/09/20,11:42,AJB14
2008/10/15,22:14,AJB14
2008/11/13,3:28,AJB16
2008/11/05,17:41,AJB18
2008/09/21,17:43,AJB18
2008/09/18,18:02,AJB18
2008/10/06,21:20,AJB18
2008/09/13,23:56,AJB18
2008/09/19,10:26,AJB19
2008/09/23,0:24,AJB20
2008/10/15,21:09,AJB20
