Site,HE,TN,TS,day.TS,night.TS,mean.TS
AJB 01,0,66,0,0,0,0
AJB 02,1,65,0.015384615,0.015384615,0,0.015384615
AJB 03,0,66,0,0,0,0
AJB 04,5,66,0.075757576,0.075757576,0,0.075757576
AJB 05,0,64,0,0,0,0
AJB 06,0,66,0,0,0,0
AJB 07,0,64,0,0,0,0
AJB 08,0,42,0,0,0,0
AJB 09,0,18,0,0,0,0
AJB 10,0,63,0,0,0,0
AJB 11,0,57,0,0,0,0
AJB 12,0,63,0,0,0,0
AJB 13,0,63,0,0,0,0
AJB 14,2,63,0.031746032,0.031746032,0,0.047619048
AJB 15,27,64,0.421875,0.421875,0.015625,1.140625
AJB 16,0,63,0,0,0,0
AJB 17,1,56,0.017857143,0.017857143,0,0.017857143
AJB 18,0,26,0,0,0,0
AJB 19,0,56,0,0,0,0
AJB 20,0,50,0,0,0,0
AJB 21,0,63,0,0,0,0
AJB 22,0,63,0,0,0,0
AJB 23,0,63,0,0,0,0
AJB 24,0,53,0,0,0,0
