Site,HE,TN,TS,day.TS,night.TS,mean.TS
AJB 01,0,71,0,0,0,0
AJB 02,1,70,0.014285714,0.014285714,0,0.014285714
AJB 03,0,70,0,0,0,0
AJB 04,3,70,0.042857143,0.042857143,0,0.057142857
AJB 05,0,69,0,0,0,0
AJB 06,0,63,0,0,0,0
AJB 07,1,68,0.014705882,0.014705882,0,0.044117647
AJB 08,0,65,0,0,0,0
AJB 09,0,66,0,0,0,0
AJB 10,0,64,0,0,0,0
AJB 11,0,68,0,0,0,0
AJB 12,0,68,0,0,0,0
AJB 13,0,68,0,0,0,0
AJB 14,0,66,0,0,0,0
AJB 15,17,65,0.261538462,0.261538462,0.030769231,0.446153846
AJB 16,0,65,0,0,0,0
AJB 17,0,52,0,0,0,0
AJB 18,0,64,0,0,0,0
AJB 19,0,61,0,0,0,0
AJB 20,0,62,0,0,0,0
AJB 21,NA,NA,NA,NA,NA,NA
AJB 22,NA,NA,NA,NA,NA,NA
AJB 23,NA,NA,NA,NA,NA,NA
AJB 24,NA,NA,NA,NA,NA,NA
