Site,HE,TN,TS,day.TS,night.TS,mean.TS
AJB 01,0,76,0,0,0,0
AJB 02,1,76,0.013157895,0.013157895,0,0.013157895
AJB 03,0,72,0,0,0,0
AJB 04,1,72,0.013888889,0.013888889,0,0.027777778
AJB 05,1,76,0.013157895,0.013157895,0,0.013157895
AJB 06,0,33,0,0,0,0
AJB 07,0,72,0,0,0,0
AJB 08,0,75,0,0,0,0
AJB 09,2,75,0.026666667,0.026666667,0,0.026666667
AJB 10,0,64,0,0,0,0
AJB 11,0,50,0,0,0,0
AJB 12,0,74,0,0,0,0
AJB 13,0,68,0,0,0,0
AJB 14,0,64,0,0,0,0
AJB 15,0,69,0,0,0,0
AJB 16,3,68,0.044117647,0.044117647,0,0.088235294
AJB 17,13,75,0.173333333,0.173333333,0,0.24
AJB 18,0,45,0,0,0,0
AJB 19,0,63,0,0,0,0
AJB 20,0,63,0,0,0,0
AJB 21,0,68,0,0,0,0
AJB 22,0,55,0,0,0,0
AJB 23,0,64,0,0,0,0
AJB 24,0,72,0,0,0,0
