Site,HE,TN,TS,day.TS,night.TS,mean.TS
AJB 01,0,50,0,0,0,0
AJB 02,0,51,0,0,0,0
AJB 03,3,50,0.06,0.06,0,0.1
AJB 04,2,46,0.043478261,0.043478261,0,0.043478261
AJB 05,0,49,0,0,0,0
AJB 06,0,49,0,0,0,0
AJB 07,1,48,0.020833333,0.020833333,0,0.020833333
AJB 08,1,51,0.019607843,0.019607843,0,0.019607843
AJB 09,1,50,0.02,0.02,0,0.02
AJB 10,0,51,0,0,0,0
AJB 11,3,51,0.058823529,0.058823529,0,0.078431373
AJB 12,1,51,0.019607843,0.019607843,0,0.019607843
AJB 13,1,49,0.020408163,0.020408163,0,0.020408163
AJB 14,4,50,0.08,0.08,0,0.08
AJB 15,34,54,0.62962963,0.592592593,0.111111111,1.240740741
AJB 16,1,50,0.02,0.02,0,0.02
AJB 17,1,53,0.018867925,0.018867925,0,0.018867925
AJB 18,0,51,0,0,0,0
AJB 19,0,49,0,0,0,0
AJB 20,0,50,0,0,0,0
AJB 21,0,50,0,0,0,0
AJB 22,2,45,0.044444444,0.044444444,0,0.044444444
AJB 23,0,50,0,0,0,0
AJB 24,1,50,0.02,0.02,0,0.02
